2022-08-16 09:08:29.744141 Epoch 49, Train loss 0.2428, , loss_ez: 0.0, loss_hd 0.0, Val loss 0.2403, Perfect loss 0.1126
2022-08-16 09:16:38.436365 Epoch 50, Train loss 0.2418, , loss_ez: 0.0, loss_hd 0.0, Val loss 0.2438, Perfect loss 0.1126
2022-08-16 09:24:47.929512 Epoch 51, Train loss 0.2421, , loss_ez: 0.0, loss_hd 0.0, Val loss 0.2405, Perfect loss 0.1126
2022-08-16 09:32:54.077176 Epoch 52, Train loss 0.2418, , loss_ez: 0.0, loss_hd 0.0, Val loss 0.2402, Perfect loss 0.1126
2022-08-16 09:41:05.352521 Epoch 53, Train loss 0.2433, , loss_ez: 0.0, loss_hd 0.0, Val loss 0.2417, Perfect loss 0.1126
2022-08-16 09:49:15.472965 Epoch 54, Train loss 0.2451, , loss_ez: 0.0, loss_hd 0.0, Val loss 0.2411, Perfect loss 0.1126
2022-08-16 09:57:26.339802 Epoch 55, Train loss 0.2411, , loss_ez: 0.0, loss_hd 0.0, Val loss 0.2402, Perfect loss 0.1126
2022-08-16 10:05:36.186630 Epoch 56, Train loss 0.2411, , loss_ez: 0.0, loss_hd 0.0, Val loss 0.2396, Perfect loss 0.1126
2022-08-16 10:13:47.697350 Epoch 57, Train loss 0.2413, , loss_ez: 0.0, loss_hd 0.0, Val loss 0.2402, Perfect loss 0.1126
2022-08-16 10:21:54.893109 Epoch 58, Train loss 0.2416, , loss_ez: 0.0, loss_hd 0.0, Val loss 0.2439, Perfect loss 0.1126
2022-08-16 10:30:02.188342 Epoch 59, Train loss 0.2413, , loss_ez: 0.0, loss_hd 0.0, Val loss 0.2407, Perfect loss 0.1126
2022-08-16 10:38:11.928456 Epoch 60, Train loss 0.2479, , loss_ez: 0.0, loss_hd 0.0, Val loss 0.2396, Perfect loss 0.1126
